id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
368,2,2,22,135,130,63,2,1,1,1,1,1,1,1,5,No,,3,1,3,3,4,6,2,,20,15,1,6,7,9,1
197,2,2,22,125,118,65,1,1,1,1,1,1,1,1,5,No,,3,1,2,3,4,2,2,,18,10,1,8,6,7,1
160,2,2,23,117,105,60,2,1,1,1,1,1,1,1,5,No,,3,1,4,3,4,2,2,,22,7,1,15,8,8,1
324,2,2,25,140,125,65,1,1,1,1,2,1,1,1,1,No,,3,2,3,3,4,3,2,,20,8,1,6,9,7,1
257,2,2,22,325,290,65,1,2,1,1,1,1,1,1,3,No,,3,2,2,2,4,6,2,,21,20,3,6,5,8,3
223,2,2,25,150,160,67,1,1,1,1,2,1,1,1,5,No,,3,2,3,3,4,3,2,,19,20,3,8,7,7,1
292,2,2,24,120,120,64,2,1,1,1,1,2,1,1,5,No,,3,2,2,2,2,2,2,,23,7,1,9,8,8,1
159,2,2,22,110,100,62,1,1,1,1,1,1,1,1,5,No,,3,1,3,4,4,6,2,,19,12,1,12,7,8,1
276,2,2,27,125,135,64,1,1,2,2,2,1,1,1,5,No,,3,1,2,3,4,3,2,,21,20,3,9,8,9,1
32,1,1,27,175,180,71,1,1,1,1,1,1,1,1,1,No,,3,1,4,4,4,1,2,,23,15,3,10,6,7,1
188,2,2,23,150,150,63,3,1,1,1,2,1,1,1,3,No,,3,2,3,3,4,1,2,,10,30,3,50,9,9,2
352,2,2,22,114,112,65,1,,2,,,2,,,5,No,,3,1,4,4,4,6,2,,19,30,3,10,6,8,1
195,2,2,26,140,130,66,1,1,1,1,1,1,1,1,5,No,,3,2,4,3,4,3,2,,19,13,4,7,7,10,1
99,2,2,25,150,130,65,3,1,1,1,1,1,1,1,5,No,,3,1,4,3,4,6,2,,19,15,1,9,7,9,2
312,2,2,28,135,140,69,1,,,,2,,,,3,No,,3,1,3,4,4,6,1,26,14,60,2,3,6,7,1
164,2,2,27,145,145,66,2,1,1,1,1,1,1,1,1,No,,3,2,2,3,4,3,2,,24,25,4,8,7,8,1
21,2,2,23,118,110,65,2,1,1,1,1,1,1,1,3,No,,3,2,2,3,4,2,2,,22,45,3,12,9,9,1
136,1,1,22,250,190,71,2,1,1,1,1,1,1,1,3,No,,3,2,2,2,4,2,2,,18,35,3,11,5,10,3
67,2,2,24,125,120,67,2,1,1,1,1,1,1,1,5,No,,3,1,2,3,4,3,2,,18,27,1,9,8,9,1
71,1,1,23,220,260,72,1,1,1,1,2,1,1,1,3,No,,3,2,3,3,4,2,2,,19,15,3,6,6,9,2
126,2,2,25,134,125,63,1,1,1,1,1,1,1,1,5,No,,3,2,4,3,4,3,2,,18,10,1,7,8,8,1
68,1,1,23,165,155,67,2,1,1,1,1,1,1,1,5,No,,3,1,3,3,4,2,2,,19,12,1,5,7,9,2
296,2,2,24,120,135,62,3,1,1,1,1,1,1,1,5,No,,3,1,3,4,4,2,2,,18,20,1,6,7,9,1
183,2,2,25,120,110,65,1,1,1,1,1,1,1,1,3,No,,3,1,2,3,4,2,2,,18,17,1,5,7,9,1
69,2,2,23,127,115,62,1,1,1,1,1,1,1,1,5,Yes,19,3,1,2,2,4,3,2,,17,35,3,9,7,9,1
115,2,2,24,130,120,68,1,1,1,1,1,1,1,1,1,No,,3,1,3,3,4,6,2,,21,3,1,6,8,8,1
109,2,2,22,135,135,68,1,,,,2,,,,5,No,,3,1,3,3,4,2,2,,15,5,1,10,8,8,1
156,2,2,26,115,115,62,1,1,1,1,2,1,1,1,1,No,,3,2,2,4,4,3,2,,22,25,1,8,6,8,1
289,2,2,20,118,123,67,2,1,1,1,2,1,1,1,1,No,,3,2,2,3,4,6,2,,18,30,3,10,6,8,1
233,2,2,26,138,135,69,3,1,1,1,1,1,1,1,5,No,,3,1,3,3,4,2,2,,24,30,3,8,8,8,1
206,2,2,26,135,125,68,2,2,,,2,,,,3,No,,3,2,2,2,4,3,2,,25,21,2,6,8,10,1
149,1,1,24,175,165,51,1,1,1,1,1,1,1,1,3,No,,3,1,3,4,4,3,2,,21,12,1,10,6,8,3
